"","Y_train","MSZoning","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","SaleType","SaleCondition","Years_S_B","Years_S_R","Years_S_G","Years_B_R","Years_B_G","Years_R_G"
"11",129500,"RL",11200,"Reg","Lvl","Inside","Sawyer","Norm","1Fam",5,5,"Hip","None",0,"TA","TA","CBlock","TA","No","Rec",906,"Unf",0,134,1040,"Ex",1040,0,1040,1,1,0,3,"TA",5,0,"Detchd","Unf",1,384,0,0,0,"2","WD","Normal",43,43,43,0,0,0
"12",345000,"RL",11924,"IR1","Lvl","Inside","NridgHt","Norm","1Fam",9,5,"Hip","Stone",286,"Ex","TA","PConc","Ex","No","GLQ",998,"Unf",0,177,1175,"Ex",1182,1142,2324,1,3,0,4,"Ex",11,2,"BuiltIn","Fin",3,736,147,21,0,"7","New","Partial",1,0,1,1,0,1
"13",144000,"RL",12968,"IR2","Lvl","Inside","Sawyer","Norm","1Fam",5,6,"Hip","None",0,"TA","TA","CBlock","TA","No","ALQ",737,"Unf",0,175,912,"TA",912,0,912,1,1,0,2,"TA",4,0,"Detchd","Unf",1,352,140,0,0,"9","WD","Normal",46,46,46,0,0,0
"14",279500,"RL",10652,"IR1","Lvl","Inside","CollgCr","Norm","1Fam",7,5,"Gable","Stone",306,"Gd","TA","PConc","Gd","Av","Unf",0,"Unf",0,1494,1494,"Ex",1494,0,1494,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,840,160,33,0,"8","New","Partial",1,0,1,1,0,1
"15",157000,"RL",10920,"IR1","Lvl","Corner","NAmes","Norm","1Fam",6,5,"Hip","BrkFace",212,"TA","TA","CBlock","TA","No","BLQ",733,"Unf",0,520,1253,"TA",1253,0,1253,1,1,1,2,"TA",5,1,"Attchd","RFn",1,352,0,213,176,"5","WD","Normal",48,48,48,0,0,0
"16",132000,"RM",6120,"Reg","Lvl","Corner","BrkSide","Norm","1Fam",7,8,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,832,832,"Ex",854,0,854,0,1,0,2,"TA",5,0,"Detchd","Unf",2,576,48,112,0,"7","WD","Normal",78,6,16,72,62,10
"17",149000,"RL",11241,"IR1","Lvl","CulDSac","NAmes","Norm","1Fam",6,7,"Gable","BrkFace",180,"TA","TA","CBlock","TA","No","ALQ",578,"Unf",0,426,1004,"Ex",1004,0,1004,1,1,0,2,"TA",5,1,"Attchd","Fin",2,480,0,0,0,"3","WD","Normal",40,40,40,0,0,0
"18",90000,"RL",10791,"Reg","Lvl","Inside","Sawyer","Norm","Duplex",4,5,"Gable","None",0,"TA","TA","Slab","TA","No","Unf",0,"Unf",0,0,0,"TA",1296,0,1296,0,2,0,2,"TA",6,0,"CarPort","Unf",2,516,0,0,0,"10","WD","Normal",39,39,39,0,0,0
"19",159000,"RL",13695,"Reg","Lvl","Inside","SawyerW","RRAe","1Fam",5,5,"Gable","None",0,"TA","TA","PConc","TA","No","GLQ",646,"Unf",0,468,1114,"Ex",1114,0,1114,1,1,1,3,"Gd",6,0,"Detchd","Unf",2,576,0,102,0,"6","WD","Normal",4,4,4,0,0,0
"20",139000,"RL",7560,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,6,"Hip","None",0,"TA","TA","CBlock","TA","No","LwQ",504,"Unf",0,525,1029,"TA",1339,0,1339,0,1,0,3,"TA",6,0,"Attchd","Unf",1,294,0,0,0,"5","COD","Abnorml",51,44,51,7,0,7
"21",325300,"RL",14215,"IR1","Lvl","Corner","NridgHt","Norm","1Fam",8,5,"Gable","BrkFace",380,"Gd","TA","PConc","Ex","Av","Unf",0,"Unf",0,1158,1158,"Ex",1158,1218,2376,0,3,1,4,"Gd",9,1,"BuiltIn","RFn",3,853,240,154,0,"11","New","Partial",1,0,1,1,0,1
"22",139400,"RM",7449,"Reg","Bnk","Inside","IDOTRR","Norm","1Fam",7,7,"Gable","None",0,"TA","TA","PConc","TA","No","Unf",0,"Unf",0,637,637,"Ex",1108,0,1108,0,1,0,3,"Gd",6,1,"Attchd","Unf",1,280,0,0,205,"6","WD","Normal",77,57,77,20,0,20
"23",230000,"RL",9742,"Reg","Lvl","Inside","CollgCr","Norm","1Fam",8,5,"Hip","BrkFace",281,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,1777,1777,"Ex",1795,0,1795,0,2,0,3,"Gd",7,1,"Attchd","RFn",2,534,171,159,0,"9","WD","Normal",6,6,6,0,0,0
"24",129900,"RM",4224,"Reg","Lvl","Inside","MeadowV","Norm","TwnhsE",5,7,"Gable","None",0,"TA","TA","PConc","Gd","No","GLQ",840,"Unf",0,200,1040,"TA",1060,0,1060,1,1,0,3,"TA",6,1,"Attchd","Unf",2,572,100,110,0,"6","WD","Normal",31,31,31,0,0,0
"25",154000,"RL",8246,"IR1","Lvl","Inside","Sawyer","Norm","1Fam",5,8,"Gable","None",0,"TA","Gd","CBlock","TA","Mn","Rec",188,"ALQ",668,204,1060,"Ex",1060,0,1060,1,1,0,3,"Gd",6,1,"Attchd","Unf",1,270,406,90,0,"5","WD","Normal",42,9,42,33,0,33
"26",256300,"RL",14230,"Reg","Lvl","Corner","NridgHt","Norm","1Fam",8,5,"Gable","Stone",640,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,1566,1566,"Ex",1600,0,1600,0,2,0,3,"Gd",7,1,"Attchd","RFn",3,890,0,56,0,"7","WD","Normal",2,2,2,0,0,0
"27",134800,"RL",7200,"Reg","Lvl","Corner","NAmes","Norm","1Fam",5,7,"Gable","None",0,"TA","TA","CBlock","TA","Mn","BLQ",234,"Rec",486,180,900,"TA",900,0,900,0,1,0,3,"Gd",5,0,"Detchd","Unf",2,576,222,32,0,"5","WD","Normal",59,10,5,49,54,-5
"28",306000,"RL",11478,"Reg","Lvl","Inside","NridgHt","Norm","1Fam",8,5,"Gable","Stone",200,"Gd","TA","PConc","Ex","No","GLQ",1218,"Unf",0,486,1704,"Ex",1704,0,1704,1,2,0,3,"Gd",7,1,"Attchd","RFn",3,772,0,50,0,"5","WD","Normal",3,2,2,1,1,0
"29",207500,"RL",16321,"IR1","Lvl","CulDSac","NAmes","Norm","1Fam",5,6,"Gable","None",0,"TA","TA","CBlock","TA","Gd","BLQ",1277,"Unf",0,207,1484,"TA",1600,0,1600,1,1,0,2,"TA",6,2,"Attchd","RFn",1,319,288,258,0,"12","WD","Normal",49,9,49,40,0,40
"30",68500,"RM",6324,"IR1","Lvl","Inside","BrkSide","Feedr","1Fam",4,6,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,520,520,"Fa",520,0,692.18,0,1,0,1,"Fa",4,0,"Detchd","Unf",1,240,49,0,87,"5","WD","Normal",81,58,88,23,-7,30
"31",40000,"C (all)",8500,"Reg","Lvl","Inside","IDOTRR","Feedr","1Fam",4,4,"Gambrel","None",0,"TA","Fa","BrkTil","TA","No","Unf",0,"Unf",0,649,649,"TA",649,668,1317,0,1,0,3,"TA",6,0,"Detchd","Unf",1,250,0,54,172,"7","WD","Normal",88,58,88,30,0,30
"32",149350,"RL",8544,"IR1","Lvl","CulDSac","Sawyer","Norm","1Fam",5,6,"Gable","None",0,"TA","TA","CBlock","TA","No","Unf",0,"Unf",0,1228,1228,"Gd",1228,0,1228,0,1,1,3,"Gd",6,0,"Attchd","Unf",1,271,0,65,0,"6","WD","Normal",42,2,42,40,0,40
"33",179900,"RL",11049,"Reg","Lvl","Corner","CollgCr","Norm","1Fam",8,5,"Gable","None",0,"Gd","TA","PConc","Ex","Av","Unf",0,"Unf",0,1234,1234,"Ex",1234,0,1234,0,2,0,3,"Gd",7,0,"Attchd","RFn",2,484,0,30,0,"1","WD","Normal",1,1,1,0,0,0
"34",165500,"RL",10552,"IR1","Lvl","Inside","NAmes","Norm","1Fam",5,5,"Hip","None",0,"TA","TA","CBlock","TA","No","Rec",1018,"Unf",0,380,1398,"Gd",1700,0,1700,0,1,1,4,"Gd",6,1,"Attchd","RFn",2,447,0,38,0,"4","WD","Normal",51,51,51,0,0,0
"35",277500,"RL",7313,"Reg","Lvl","Inside","NridgHt","Norm","TwnhsE",9,5,"Hip","BrkFace",246,"Ex","TA","PConc","Ex","No","GLQ",1153,"Unf",0,408,1561,"Ex",1561,0,1561,1,2,0,2,"Ex",6,1,"Attchd","Fin",2,556,203,47,0,"8","WD","Normal",2,2,2,0,0,0
"36",309000,"RL",13418,"Reg","Lvl","Inside","NridgHt","Norm","1Fam",8,5,"Gable","Stone",132,"Gd","TA","PConc","Ex","Av","Unf",0,"Unf",0,1117,1117,"Ex",1132,1320,2452,0,3,1,4,"Gd",9,1,"BuiltIn","Fin",3,691,113,32,0,"9","WD","Normal",2,1,2,1,0,1
"37",145000,"RL",10859,"Reg","Lvl","Corner","CollgCr","Norm","1Fam",5,5,"Gable","None",0,"TA","TA","PConc","Gd","No","Unf",0,"Unf",0,1097,1097,"Ex",1097,0,1097,0,1,1,3,"TA",6,0,"Attchd","Unf",2,672,392,64,0,"6","WD","Normal",15,14,14,1,1,0
"38",153000,"RL",8532,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,6,"Hip","BrkFace",650,"TA","TA","CBlock","TA","No","Rec",1213,"Unf",0,84,1297,"Gd",1297,0,1297,0,1,0,3,"TA",5,1,"Attchd","Fin",2,498,0,0,0,"10","WD","Normal",55,19,55,36,0,36
"39",109000,"RL",7922,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,7,"Gable","None",0,"TA","Gd","CBlock","TA","No","GLQ",731,"Unf",0,326,1057,"TA",1057,0,1057,1,1,0,3,"Gd",5,0,"Detchd","Unf",1,246,0,52,0,"1","WD","Abnorml",57,3,57,54,0,54
"40",82000,"RL",6040,"Reg","Lvl","Inside","Edwards","Norm","Duplex",4,5,"Gable","None",0,"TA","TA","PConc","TA","No","Unf",0,"Unf",0,0,0,"TA",1152,0,1152,0,2,0,2,"Fa",6,0,"Attchd","Unf",0,0,0,0,0,"6","WD","AdjLand",53,53,29.4938361131256,0,23.5061638868744,-23.5061638868744
"41",160000,"RL",8658,"Reg","Lvl","Inside","NAmes","Norm","1Fam",6,5,"Gable","BrkFace",101,"TA","TA","CBlock","TA","No","Rec",643,"Unf",0,445,1088,"Ex",1324,0,1324,0,2,0,3,"TA",6,1,"Attchd","RFn",2,440,0,138,0,"12","WD","Abnorml",41,41,41,0,0,0
"42",170000,"RL",16905,"Reg","Lvl","Inside","Timber","Norm","1Fam",5,6,"Gable","None",0,"TA","Gd","CBlock","TA","Gd","BLQ",967,"Unf",0,383,1350,"Gd",1328,0,1328,0,1,1,2,"TA",5,2,"Attchd","RFn",1,308,0,104,0,"7","WD","Normal",48,48,48,0,0,0
"43",144000,"RL",9180,"IR1","Lvl","CulDSac","SawyerW","Norm","1Fam",5,7,"Gable","None",0,"TA","TA","CBlock","Gd","Av","ALQ",747,"LwQ",93,0,840,"Gd",884,0,884,1,1,0,2,"Gd",5,0,"Attchd","RFn",2,504,240,0,0,"12","WD","Normal",24,24,24,0,0,0
"44",130250,"RL",9200,"IR1","Lvl","CulDSac","CollgCr","Norm","1Fam",5,6,"Hip","None",0,"TA","TA","CBlock","Gd","Av","LwQ",280,"BLQ",491,167,938,"TA",938,0,938,1,1,0,3,"TA",5,0,"Detchd","Unf",1,308,145,0,0,"7","WD","Normal",33,28,31,5,2,3
"45",141000,"RL",7945,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,6,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",179,"BLQ",506,465,1150,"Ex",1150,0,1150,1,1,0,3,"TA",6,0,"Attchd","RFn",1,300,0,0,0,"5","WD","Normal",47,47,47,0,0,0
"46",319900,"RL",7658,"Reg","Lvl","Inside","NridgHt","Norm","TwnhsE",9,5,"Hip","BrkFace",412,"Ex","TA","PConc","Ex","No","GLQ",456,"Unf",0,1296,1752,"Ex",1752,0,1752,1,2,0,2,"Ex",6,1,"Attchd","RFn",2,576,196,82,0,"2","WD","Normal",5,5,5,0,0,0
"47",239686,"RL",12822,"IR1","Lvl","CulDSac","Mitchel","Norm","1Fam",7,5,"Gable","None",0,"Gd","TA","PConc","Ex","No","GLQ",1351,"Unf",0,83,1434,"Ex",1518,631,2149,1,1,1,1,"Gd",6,1,"Attchd","RFn",2,670,168,43,0,"8","WD","Abnorml",6,6,6,0,0,0
"48",249700,"FV",11096,"Reg","Lvl","Inside","Somerst","Norm","1Fam",8,5,"Gable","None",0,"Gd","TA","PConc","Gd","Av","GLQ",24,"Unf",0,1632,1656,"Ex",1656,0,1656,0,2,0,3,"Gd",7,0,"Attchd","RFn",3,826,0,146,0,"7","WD","Normal",1,1,1,0,0,0
"49",113000,"RM",4456,"Reg","Lvl","Inside","OldTown","Norm","2fmCon",4,5,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,736,736,"Gd",736,716,1452,0,2,0,2,"TA",8,0,"Attchd","Unf",0,0,0,0,102,"6","New","Partial",89,1,30.4938361131256,88,58.5061638868744,29.4938361131256
"50",127000,"RL",7742,"Reg","Lvl","Inside","Sawyer","Norm","1Fam",5,7,"Gable","None",0,"TA","TA","CBlock","TA","No","BLQ",763,"Unf",0,192,955,"Ex",955,0,955,1,1,0,3,"TA",6,0,"Attchd","Unf",1,386,0,0,0,"1","WD","Normal",41,41,41,0,0,0
"51",177000,"RL",13869,"IR2","Lvl","Corner","Gilbert","Norm","1Fam",6,6,"Gable","None",0,"TA","TA","PConc","Gd","Av","GLQ",182,"Unf",0,612,794,"Gd",794,676,1470,0,2,0,3,"TA",6,0,"Attchd","Fin",2,388,0,75,0,"7","WD","Normal",10,10,10,0,0,0
"52",114500,"RM",6240,"Reg","Lvl","Inside","BrkSide","Norm","1Fam",6,6,"Gable","None",0,"TA","TA","PConc","TA","No","Unf",0,"Unf",0,816,816,"TA",816,0,1176,0,1,0,3,"TA",6,1,"Detchd","Unf",2,528,112,0,0,"9","WD","Normal",72,56,21,16,51,-35
"53",110000,"RM",8472,"IR2","Bnk","Corner","IDOTRR","RRNn","Duplex",5,5,"Gable","None",0,"Fa","TA","CBlock","Gd","Gd","LwQ",104,"GLQ",712,0,816,"TA",816,0,816,1,1,0,2,"TA",5,0,"CarPort","Unf",2,516,106,0,0,"5","WD","Normal",47,47,47,0,0,0
"54",385000,"RL",37567.6400000002,"IR1","Low","Inside","Veenker","Norm","1Fam",9,5,"Gable","None",0,"Gd","TA","CBlock","Ex","Gd","GLQ",1572.41,"Unf",0,32,1842,"Gd",1842,0,1842,2,1,1,1,"Gd",5,1,"Attchd","Fin",3,894,505.46,72,0,"11","WD","Normal",25,19,25,6,0,6
"55",130000,"RL",7134,"Reg","Bnk","Inside","NAmes","Norm","1Fam",5,5,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",384,"Unf",0,0,384,"TA",1360,0,1360,0,1,0,3,"TA",6,1,"Detchd","Unf",2,572,0,50,0,"2","WD","Normal",52,52,45,0,7,-7
"56",180500,"RL",10175,"IR1","Lvl","Inside","NAmes","Norm","1Fam",6,5,"Gable","BrkFace",272,"TA","TA","CBlock","TA","No","BLQ",490,"Unf",0,935,1425,"Gd",1425,0,1425,0,2,0,3,"TA",7,1,"Attchd","RFn",2,576,0,0,0,"7","WD","Normal",44,44,44,0,0,0
"57",172500,"FV",2645,"Reg","Lvl","Inside","Somerst","Norm","Twnhs",8,5,"Gable","BrkFace",456,"Gd","TA","PConc","Gd","No","GLQ",649,"Unf",0,321,970,"Ex",983,756,1739,1,2,1,3,"Gd",7,0,"Attchd","Fin",2,480,115,0,0,"8","WD","Abnorml",10,9,10,1,0,1
"58",196500,"RL",11645,"IR1","Lvl","Corner","CollgCr","Norm","1Fam",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,860,860,"Ex",860,860,1720,0,2,1,3,"Gd",7,0,"Attchd","RFn",2,565,0,70,0,"8","WD","Normal",2,2,2,0,0,0
"59",438780,"RL",13682,"IR2","HLS","CulDSac","StoneBr","Norm","1Fam",10,5,"Hip","BrkFace",791.280000000001,"Ex","TA","PConc","Ex","Gd","Unf",0,"Unf",0,1410,1410,"Ex",1426,1418.92,2945,0,3,1,3,"Gd",10,1,"BuiltIn","Fin",3,641,192,0,37,"10","New","Partial",0,0,0,0,0,0
"60",124900,"RL",7200,"Reg","Bnk","Inside","CollgCr","Norm","1Fam",5,7,"Gable","None",0,"TA","TA","CBlock","TA","Av","ALQ",632,"Unf",0,148,780,"Ex",780,0,780,0,1,0,2,"TA",4,0,"Detchd","Unf",1,352,196,0,0,"1","WD","Normal",36,36,35,0,1,-1
"61",158000,"RL",13072,"Reg","Lvl","Inside","SawyerW","RRAe","1Fam",6,5,"Gable","None",0,"TA","TA","PConc","Gd","No","ALQ",941,"Unf",0,217,1158,"Ex",1158,0,1158,1,1,1,3,"Gd",5,0,"Detchd","Unf",2,576,0,50,0,"5","New","Partial",2,2,0,0,2,-2
"62",101000,"RM",7200,"Reg","Lvl","Inside","IDOTRR","Norm","1Fam",5,7,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,530,530,"TA",581,530,1111,0,1,0,3,"Fa",6,0,"Detchd","Unf",1,288,0,0,144,"3","WD","Normal",87,11,72,76,15,61
"63",202500,"RL",6442,"IR1","Lvl","Inside","NridgHt","Norm","TwnhsE",8,5,"Gable","Stone",178,"Gd","TA","PConc","Gd","Mn","GLQ",24,"Unf",0,1346,1370,"Ex",1370,0,1370,0,2,0,2,"Gd",6,1,"Attchd","RFn",2,484,120,49,0,"10","WD","Normal",1,1,1,0,0,0
"64",140000,"RM",10300,"IR1","Bnk","Inside","OldTown","RRAn","1Fam",7,6,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,576,576,"Gd",902,808,1710,0,2,0,3,"TA",9,0,"Detchd","Unf",2,480,12,11,64,"4","WD","Normal",89,60,20,29,69,-40
"65",219500,"RL",9375,"Reg","Lvl","Inside","CollgCr","Norm","1Fam",7,5,"Gable","BrkFace",573,"TA","TA","PConc","Gd","No","GLQ",739,"Unf",0,318,1057,"Ex",1057,977,2034,1,2,1,3,"Gd",8,0,"Attchd","RFn",2,645,505.46,36,0,"2","WD","Normal",12,11,11,1,1,0
"66",317000,"RL",9591,"Reg","Lvl","Inside","NridgHt","Norm","1Fam",8,5,"Gable","BrkFace",344,"Gd","TA","PConc","Ex","Av","Unf",0,"Unf",0,1143,1143,"Ex",1143,1330,2473,0,2,1,4,"Gd",9,1,"BuiltIn","RFn",3,852,192,151,0,"10","WD","Normal",3,2,3,1,0,1
"67",180000,"RL",19900,"Reg","Lvl","Inside","NAmes","PosA","1Fam",7,5,"Gable","BrkFace",287,"TA","TA","CBlock","Gd","Gd","GLQ",912,"Unf",0,1035,1947,"TA",2207,0,2207,1,2,0,3,"TA",7,1,"Attchd","RFn",2,576,301,0,0,"7","WD","Normal",40,21,40,19,0,19
"68",226000,"RL",10665,"IR1","Lvl","Inside","CollgCr","Norm","1Fam",7,5,"Gable","BrkFace",167,"Gd","TA","PConc","Gd","Av","GLQ",1013,"Unf",0,440,1453,"Ex",1479,0,1479,1,2,0,3,"Gd",7,0,"Attchd","RFn",2,558,144,29,0,"6","WD","Normal",4,4,4,0,0,0
"69",80000,"RM",4608,"Reg","Lvl","Corner","OldTown","Artery","1Fam",4,6,"Gable","None",0,"TA","Gd","CBlock","TA","No","Unf",0,"Unf",0,747,747,"TA",747,0,747,0,1,0,2,"TA",4,0,"Attchd","Unf",1,220,0,0,0,"6","WD","Normal",65,60,65,5,0,5
"70",225000,"RL",15593,"Reg","Lvl","Corner","ClearCr","Norm","1Fam",7,4,"Gable","None",0,"Gd","TA","CBlock","TA","No","BLQ",603,"Unf",0,701,1304,"TA",1304,983,2287,0,2,0,3,"TA",7,1,"Attchd","Fin",2,667,0,21,114,"7","WD","Normal",53,53,53,0,0,0
"71",244000,"RL",13651,"IR1","Lvl","Inside","NAmes","Norm","1Fam",7,6,"Gable","BrkFace",791.280000000001,"TA","Gd","CBlock","Gd","Gd","ALQ",1572.41,"Unf",0,343,2155.05,"Ex",2219.46,0,2223,1,2,0,3,"TA",8,2,"Attchd","Fin",2,516,300,0,0,"2","WD","Normal",34,34,34,0,0,0
"72",129500,"RL",7599,"Reg","Lvl","Corner","Mitchel","Norm","1Fam",4,6,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",565,"Unf",0,280,845,"TA",845,0,845,1,1,0,2,"TA",4,0,"Detchd","Unf",2,360,0,0,0,"6","WD","Normal",25,1,20,24,5,19
"73",185000,"RL",10141,"IR1","Lvl","Corner","Gilbert","Norm","1Fam",7,5,"Gable","BrkFace",40,"TA","TA","PConc","Gd","No","Unf",0,"Unf",0,832,832,"Gd",885,833,1718,0,2,1,3,"TA",7,1,"Attchd","Fin",2,427,0,94,0,"12","WD","Normal",11,11,11,0,0,0
"74",144900,"RL",10200,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,7,"Gable","BrkFace",104,"TA","TA","CBlock","TA","No","ALQ",320,"BLQ",362,404,1086,"Gd",1086,0,1086,1,1,0,3,"TA",6,0,"Attchd","Unf",2,490,0,0,0,"5","WD","Normal",56,7,21,49,35,14
"75",107400,"RM",5790,"Reg","Lvl","Corner","OldTown","Norm","1Fam",3,6,"Gambrel","None",0,"Gd","Gd","CBlock","Fa","No","Unf",0,"Unf",0,840,840,"Gd",840,765,1605,0,2,0,3,"TA",8,0,"Detchd","Unf",1,379,0,0,202,"5","WD","Normal",95,60,92.8200000000002,35,2.17999999999984,32.8200000000002
"76",91000,"RM",1680,"Reg","Lvl","Inside","MeadowV","Norm","Twnhs",4,5,"Gable","None",0,"TA","TA","CBlock","Gd","Gd","GLQ",462,"Unf",0,0,462,"TA",526,462,988,1,1,0,2,"TA",5,0,"BuiltIn","Unf",1,297,120,101,0,"11","WD","Normal",36,36,36,0,0,0
"77",135750,"RL",8475,"IR1","Lvl","Inside","NAmes","Norm","1Fam",4,7,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",228,"Unf",0,724,952,"Ex",952,0,952,0,1,0,2,"TA",4,0,"Detchd","Unf",1,283,0,0,0,"4","WD","Normal",52,52,52,0,0,0
"78",127000,"RM",8635,"Reg","Lvl","Inside","BrkSide","Norm","1Fam",5,5,"Gable","None",0,"TA","TA","CBlock","TA","No","BLQ",336,"GLQ",41,295,672,"TA",1072,213,1285,1,1,0,2,"TA",6,0,"Detchd","Unf",1,240,0,0,0,"1","WD","Normal",60,7,60,53,0,53
"79",136500,"RL",10778,"Reg","Lvl","Inside","Sawyer","Norm","Duplex",4,5,"Hip","None",0,"TA","TA","CBlock","TA","No","Unf",0,"Unf",0,1768,1768,"TA",1768,0,1768,0,2,0,4,"TA",8,0,"Attchd","Unf",0,0,0,0,0,"4","WD","Normal",42,42,31.4938361131256,0,10.5061638868744,-10.5061638868744
"80",110000,"RM",10440,"Reg","Lvl","Corner","OldTown","Norm","1Fam",5,6,"Gable","None",0,"TA","TA","PConc","TA","No","Unf",0,"Unf",0,440,440,"Gd",682,548,1230,0,1,1,2,"TA",5,0,"Detchd","Unf",2,440,74,0,128,"5","WD","Normal",99,28,43,71,56,15
