"","Id_test","Id","MSZoning","LotArea","LotShape","LandContour","LotConfig","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","SaleType","SaleCondition","Years_S_B","Years_S_R","Years_S_G","Years_B_R","Years_B_G","Years_R_G"
"37",1497,1497,"FV",3515,"Reg","Lvl","Inside","Somerst","Norm","TwnhsE",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","Unf",0,"Unf",0,840,840,"Ex",840,840,1680,0,2,1,2,"Gd",3,0,"Attchd","RFn",2,588,0,111,0,"1","WD","Normal",6,6,6,0,0,0
"38",1498,1498,"FV",3215,"Reg","Lvl","Inside","Somerst","Norm","TwnhsE",7,5,"Gable","BrkFace",120,"Gd","TA","PConc","Gd","Av","GLQ",280,"Unf",0,320,600,"Ex",600,600,1200,0,2,1,2,"Gd",4,0,"Detchd","RFn",2,480,0,172,0,"4","ConLD","Normal",6,6,6,0,0,0
"39",1499,1499,"FV",2544,"Reg","Lvl","Inside","Somerst","Norm","Twnhs",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","GLQ",368,"ALQ",42,190,600,"Ex",600,600,1200,1,2,1,2,"Gd",4,0,"Detchd","RFn",2,480,0,172,0,"2","WD","Normal",6,5,6,1,0,1
"40",1500,1500,"FV",2544,"Reg","Lvl","Inside","Somerst","Norm","Twnhs",6,5,"Gable","BrkFace",216,"Gd","TA","PConc","Gd","No","GLQ",376,"Unf",0,224,600,"Ex",600,636,1236,1,2,1,2,"Gd",4,0,"Detchd","RFn",2,480,0,166,0,"5","WD","Normal",5,5,5,0,0,0
"41",1501,1501,"FV",2980,"Reg","Lvl","Corner","Somerst","Norm","TwnhsE",6,5,"Gable","BrkFace",791.280000000001,"Gd","TA","PConc","Gd","No","GLQ",466,"Unf",0,290,756,"Ex",756,756,1512,1,2,1,2,"Gd",5,0,"Detchd","Unf",2,440,0,32,0,"5","WD","Normal",10,10,10,0,0,0
"42",1502,1502,"FV",2403,"IR1","Lvl","FR2","Somerst","Norm","TwnhsE",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","GLQ",244,"Unf",0,286,530,"Ex",530,550,1080,0,2,1,2,"Gd",4,0,"Attchd","RFn",2,496,0,50,0,"6","WD","Normal",7,7,7,0,0,0
"43",1503,1503,"FV",12853,"IR1","Lvl","Inside","Somerst","Norm","1Fam",8,5,"Gable","None",0,"Gd","TA","PConc","Ex","No","GLQ",1032,"Unf",0,610,1642,"Ex",1418,0,1418,1,1,1,1,"Gd",6,1,"Attchd","RFn",3,852,160,192,0,"4","New","Partial",1,1,1,0,0,0
"44",1504,1504,"FV",7379,"IR1","Lvl","Inside","Somerst","Norm","1Fam",8,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","GLQ",484,"Unf",0,491,975,"Ex",975,873,1848,1,2,1,3,"Gd",7,1,"Attchd","RFn",2,592,280,184,0,"4","WD","Normal",10,10,10,0,0,0
"45",1505,1505,"FV",8000,"Reg","Lvl","Inside","Somerst","Norm","1Fam",7,5,"Gable","None",0,"Gd","TA","PConc","Gd","No","GLQ",833,"Unf",0,659,1492,"Ex",1492,0,1492,1,2,0,3,"Gd",6,1,"Attchd","RFn",2,596,277,137,0,"4","WD","Normal",8,8,8,0,0,0
"46",1506,1506,"RL",10456,"IR1","Lvl","Inside","NWAmes","Norm","1Fam",6,6,"Hip","BrkFace",120,"TA","TA","CBlock","TA","No","GLQ",506,"Unf",0,1323,1829,"Gd",1829,0,1829,1,2,0,4,"TA",8,0,"Attchd","RFn",2,535,0,76,0,"5","WD","Normal",43,43,43,0,0,0
"47",1507,1507,"RL",10791,"Reg","Lvl","Inside","NWAmes","Norm","1Fam",6,5,"Gable","None",0,"TA","TA","PConc","Gd","Mn","GLQ",1137,"Unf",0,143,1280,"Ex",1280,1215,2495,1,2,1,4,"Gd",9,1,"Attchd","Unf",2,660,224,32,0,"3","WD","Normal",17,17,17,0,0,0
"48",1508,1508,"RL",18837,"IR1","Lvl","Inside","NWAmes","Norm","1Fam",6,5,"Gable","None",0,"TA","TA","PConc","Gd","Mn","ALQ",687,"LwQ",46,491,1224,"TA",1287,604,1891,0,3,0,3,"TA",7,1,"Attchd","RFn",2,678,0,69,0,"4","WD","Normal",32,32,32,0,0,0
"49",1509,1509,"RL",9600,"Reg","Lvl","Inside","NWAmes","Norm","1Fam",6,6,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",329,"Unf",0,386,715,"TA",930,715,1645,0,1,1,4,"TA",7,0,"Attchd","RFn",2,441,0,78,0,"6","WD","Normal",39,39,39,0,0,0
"50",1510,1510,"RL",9600,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,5,"Hip","BrkFace",172,"TA","TA","CBlock","TA","No","Rec",698,"Unf",0,534,1232,"TA",1232,0,1232,1,1,1,3,"TA",6,0,"Attchd","RFn",2,490,0,224,0,"4","WD","Normal",44,44,44,0,0,0
"51",1511,1511,"RL",9900,"Reg","Lvl","Corner","NAmes","Norm","1Fam",5,5,"Hip","None",0,"TA","TA","PConc","Gd","No","BLQ",1059,"Unf",0,150,1209,"Gd",1209,0,1209,1,1,0,3,"TA",6,0,"Attchd","RFn",2,504,0,0,120,"4","ConLD","Normal",44,44,44,0,0,0
"52",1512,1512,"RL",9680,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,6,"Gable","BrkFace",268,"TA","TA","CBlock","TA","No","BLQ",1010,"Unf",0,500,1510,"Ex",1510,0,1510,1,2,0,3,"Gd",6,0,"Attchd","RFn",2,517,0,40,0,"4","WD","Normal",43,43,43,0,0,0
"53",1513,1513,"RL",10600,"IR1","Lvl","Inside","NAmes","Norm","1Fam",6,5,"Gable","None",0,"TA","TA","CBlock","TA","No","Unf",0,"Unf",0,533,533,"TA",1131,644,1775,0,2,0,3,"TA",8,0,"Attchd","Unf",2,480,0,172,0,"5","COD","Family",46,46,46,0,0,0
"54",1514,1514,"RL",13260,"IR1","Lvl","Inside","NAmes","Norm","Duplex",5,6,"Hip","BrkFace",144,"TA","TA","CBlock","TA","No","BLQ",1500,"Unf",0,228,1728,"TA",1728,0,1728,2,2,0,5,"TA",10,0,"Attchd","Unf",0,0,0,0,0,"1","Oth","Abnorml",48,9,31.4938361131256,39,16.5061638868744,22.4938361131256
"55",1515,1515,"RL",9724,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,7,"Gable","BrkFace",265,"Gd","TA","CBlock","TA","No","LwQ",670,"Unf",0,470,1140,"Gd",1929,532,2461,0,2,0,3,"TA",7,2,"Detchd","Unf",2,400,0,0,0,"3","WD","Normal",58,8,16,50,42,8
"56",1516,1516,"RL",17360,"Reg","Lvl","Corner","NAmes","Artery","1Fam",6,6,"Gable","Stone",340,"TA","Gd","CBlock","TA","No","Rec",300,"Unf",0,482,782,"TA",1019,537,1556,0,2,0,3,"TA",6,1,"Attchd","Unf",2,470,0,0,150,"1","WD","Normal",61,60,61,1,0,1
"57",1517,1517,"RL",11380,"IR1","Lvl","Inside","NAmes","Norm","1Fam",6,8,"Gable","BrkFace",216,"TA","TA","CBlock","TA","Gd","GLQ",944,"Unf",0,136,1080,"Gd",1128,0,1128,1,1,0,2,"Gd",5,1,"Attchd","Unf",1,315,238,0,0,"1","WD","Normal",44,2,44,42,0,42
"58",1518,1518,"RL",8267,"Reg","Lvl","Corner","NAmes","Feedr","Duplex",5,5,"Gable","None",0,"TA","TA","CBlock","TA","No","Unf",0,"Unf",0,1604,1604,"TA",1604,0,1604,0,2,0,4,"TA",8,0,"Attchd","Unf",2,576,42,0,0,"3","WD","Normal",52,52,52,0,0,0
"59",1519,1519,"RL",8197,"Reg","Lvl","Inside","NAmes","Norm","1Fam",7,5,"Gable","BrkFace",506,"Gd","TA","PConc","Gd","No","GLQ",1188,"Unf",0,292,1480,"Ex",1480,0,1480,1,2,0,3,"Gd",7,0,"Attchd","RFn",2,620,252,73,0,"2","WD","Normal",7,1,7,6,0,6
"60",1520,1520,"RL",8050,"IR1","Lvl","Inside","NAmes","Norm","1Fam",5,5,"Hip","BrkFace",150,"TA","TA","CBlock","TA","No","BLQ",856,"Rec",162,125,1143,"TA",1143,0,1143,1,1,0,3,"TA",6,0,"Attchd","RFn",1,308,0,0,0,"5","WD","Normal",51,51,51,0,0,0
"61",1521,1521,"RL",10725,"IR1","Lvl","Inside","NAmes","Norm","1Fam",5,5,"Hip","BrkFace",91,"TA","TA","CBlock","TA","No","Rec",936,"Unf",0,270,1206,"Fa",1206,0,1206,0,1,0,3,"TA",6,0,"Attchd","RFn",1,312,0,21,0,"5","WD","Normal",51,51,51,0,0,0
"62",1522,1522,"RL",10032,"Reg","Lvl","Inside","NAmes","Norm","1Fam",6,5,"Gable","Stone",432,"TA","TA","CBlock","TA","No","Rec",734,"Unf",0,510,1244,"Ex",1580,0,1580,1,1,1,3,"TA",6,2,"Attchd","Unf",2,440,0,28,0,"6","WD","Normal",51,51,54,0,-3,3
"63",1523,1523,"RL",8382,"Reg","Lvl","Inside","NAmes","Norm","1Fam",4,5,"Gable","None",0,"TA","TA","CBlock","TA","No","Unf",0,"Unf",0,832,832,"TA",832,505,1337,0,1,0,3,"TA",5,0,"Attchd","Unf",1,263,0,0,0,"2","WD","Normal",54,54,54,0,0,0
"64",1524,1524,"RL",10950,"Reg","Lvl","Inside","NAmes","Norm","1Fam",5,7,"Gable","None",0,"TA","TA","CBlock","TA","No","BLQ",339,"Unf",0,525,864,"TA",1064,0,1064,0,1,0,2,"Fa",4,0,"Detchd","Unf",1,318,0,0,0,"5","WD","Normal",58,58,58,0,0,0
"65",1525,1525,"RL",10895,"Reg","Lvl","Corner","NAmes","Norm","1Fam",5,6,"Gable","None",0,"TA","Gd","CBlock","TA","No","Rec",648,"Unf",0,324,972,"TA",972,0,972,0,1,0,3,"TA",5,0,"Attchd","Unf",1,305,0,0,205,"6","WD","Normal",55,55,55,0,0,0
"66",1526,1526,"RL",13587,"Reg","Lvl","Inside","NAmes","Norm","2fmCon",5,5,"Gable","None",0,"TA","TA","CBlock","TA","Av","Rec",532,"Unf",0,456,988,"TA",988,0,988,1,1,0,2,"TA",5,0,"Attchd","Unf",1,264,0,0,0,"4","WD","Abnorml",52,52,52,0,0,0
"67",1527,1527,"RL",7898,"Reg","Lvl","Corner","NAmes","Norm","1Fam",4,7,"Gable","None",0,"TA","TA","BrkTil","TA","No","Unf",0,"Unf",0,576,576,"Gd",985,0,985,0,1,0,2,"TA",4,0,"Detchd","Unf",2,676,0,0,0,"4","WD","Normal",90,16,21,74,69,5
"68",1528,1528,"RL",8064,"Reg","Lvl","Inside","NAmes","Artery","1Fam",6,8,"Gable","None",0,"TA","TA","CBlock","TA","No","ALQ",481,"Rec",174,161,816,"TA",816,408,1224,1,1,0,3,"TA",5,0,"Detchd","Unf",1,280,414,0,0,"5","WD","Normal",62,6,60,56,2,54
"69",1529,1529,"RL",7635,"IR1","Lvl","Corner","NAmes","Norm","1Fam",5,6,"Gable","None",0,"TA","TA","CBlock","TA","No","Rec",588,"LwQ",350,237,1175,"Ex",1175,0,1175,0,1,1,3,"TA",6,0,"Detchd","RFn",2,484,0,0,0,"6","WD","Normal",50,50,50,0,0,0
"70",1530,1530,"RL",9760,"Reg","Lvl","Inside","NAmes","Norm","1Fam",6,7,"Hip","BrkFace",218,"TA","TA","CBlock","TA","Gd","BLQ",717,"LwQ",263,415,1395,"TA",1395,0,1395,1,1,0,2,"TA",7,1,"Attchd","RFn",2,440,505.46,0,113,"5","WD","Normal",47,26,47,21,0,21
"71",1531,1531,"RM",4800,"Reg","Lvl","Corner","OldTown","Norm","1Fam",4,5,"Hip","BrkFace",771,"TA","TA","PConc","TA","No","ALQ",48,"Unf",0,661,709,"TA",1157,687,1844,1,1,0,3,"TA",9,2,"Basment","Unf",1,240,84,0,0,"1","COD","Abnorml",110,56,92.8200000000002,54,17.1799999999998,36.8200000000002
"72",1532,1532,"RM",4485,"Reg","Lvl","Inside","OldTown","Artery","1Fam",5,7,"Gable","None",0,"TA","TA","PConc","TA","No","BLQ",579,"Unf",0,357,936,"TA",936,0,936,1,1,0,2,"TA",5,1,"Attchd","Unf",0,0,51,0,135,"5","WD","Normal",90,60,31.4938361131256,30,58.5061638868744,-28.5061638868744
"73",1533,1533,"RM",5805,"Reg","Bnk","Inside","OldTown","Norm","1Fam",5,7,"Hip","None",0,"TA","TA","CBlock","TA","Mn","BLQ",274,"Rec",830.380000000001,0,1347,"Gd",1347,0,1347,1,1,0,3,"Gd",6,0,"Detchd","Unf",2,551,0,0,0,"6","WD","Normal",53,53,53,0,0,0
"74",1534,1534,"RM",6900,"Reg","Lvl","Corner","OldTown","Norm","1Fam",6,7,"Gable","None",0,"TA","TA","PConc","Gd","No","Unf",0,"Unf",0,827,827,"Gd",827,424,1251,0,1,0,3,"Fa",6,0,"Detchd","Unf",1,240,0,0,0,"1","WD","Normal",72,10,72,62,0,62
"75",1535,1535,"RM",11851,"Reg","Lvl","Inside","OldTown","Artery","1Fam",5,7,"Gable","None",0,"TA","Gd","BrkTil","TA","No","BLQ",780,"Unf",0,247,1027,"Ex",1027,606,1633,0,1,0,3,"Gd",7,1,"Detchd","Unf",1,240,0,100,126,"6","WD","Normal",62,1,62,61,0,61
"76",1536,1536,"RM",8239,"Reg","Lvl","Inside","OldTown","Artery","1Fam",5,6,"Gable","None",0,"TA","TA","BrkTil","TA","No","Rec",176,"Unf",0,832,1008,"TA",1060,185,1245,0,1,0,3,"TA",6,0,"Detchd","Unf",1,315,0,0,261.05,"3","WD","Normal",90,48,48,42,42,0
"77",1537,1537,"RM",9656,"Reg","Lvl","Inside","OldTown","Norm","1Fam",3,3,"Gable","None",0,"TA","Fa","BrkTil","Fa","No","Unf",0,"Unf",0,678,678,"TA",832,0,832,0,1,0,2,"TA",5,1,"Detchd","Unf",2,780,0,0,0,"6","WD","Abnorml",87,40,82,47,5,42
"78",1538,1538,"RM",9600,"Reg","Lvl","Corner","OldTown","Norm","1Fam",8,9,"Gable","None",0,"Gd","Gd","BrkTil","TA","No","Unf",0,"Unf",0,930,930,"TA",930,636,1566,0,2,0,3,"Gd",7,0,"Detchd","Unf",1,288,54,228,246,"4","WD","Abnorml",110,7,80,103,30,73
